freq_Hz,freq_GHz,R,D
1000000,0.001,1.0,0.0
100000000,0.1,1.0,0.0
200000000,0.2,0.99999,9.99999999995449e-06
300000000,0.3,0.99999,9.99999999995449e-06
400000000,0.4,0.99999,9.99999999995449e-06
500000000,0.5,0.99999,9.99999999995449e-06
600000000,0.6,0.99999,9.99999999995449e-06
700000000,0.7,0.99999,9.99999999995449e-06
800000000,0.8,0.99999,9.99999999995449e-06
900000000,0.9,0.99999,9.99999999995449e-06
1000000000,1.0,0.99999,9.99999999995449e-06
2000000000,2.0,0.99998,2.0000000000020002e-05
3000000000,3.0,0.99998,2.0000000000020002e-05
4000000000,4.0,0.99998,2.0000000000020002e-05
5000000000,5.0,0.99997,2.999999999997449e-05
6000000000,6.0,0.99997,2.999999999997449e-05
7000000000,7.0,0.99997,2.999999999997449e-05
8000000000,8.0,0.99997,2.999999999997449e-05
9000000000,9.0,0.99997,2.999999999997449e-05
10000000000,10.0,0.99996,4.0000000000040004e-05
20000000000,20.0,0.99995,4.999999999999449e-05
30000000000,30.0,0.99994,5.999999999994898e-05
40000000000,40.0,0.99993,7.00000000000145e-05
50000000000,50.0,0.99992,7.999999999996898e-05
60000000000,60.0,0.99991,9.00000000000345e-05
70000000000,70.0,0.9999,9.999999999998899e-05
80000000000,80.0,0.9999,9.999999999998899e-05
90000000000,90.0,0.99989,0.0001100000000000545
100000000000,100.0,0.99988,0.00012000000000000899
200000000000,200.0,0.99984,0.000160000000000049
300000000000,300.0,0.9998,0.00019999999999997797
400000000000,400.0,0.99977,0.00022999999999995246
500000000000,500.0,0.99974,0.000260000000000038
600000000000,600.0,0.99953,0.00046999999999997044
700000000000,700.0,0.99949,0.0005100000000000104
800000000000,800.0,0.99946,0.0005399999999999849
900000000000,900.0,0.99942,0.0005800000000000249
1000000000000,1000.0,0.99939,0.0006099999999999994
2000000000000,2000.0,0.99914,0.0008599999999999719
3000000000000,3000.0,0.995,0.0050000000000000044
4000000000000,4000.0,0.995,0.0050000000000000044
5000000000000,5000.0,0.994,0.006000000000000005
6000000000000,6000.0,0.994,0.006000000000000005
7000000000000,7000.0,0.993,0.007000000000000006
8000000000000,8000.0,0.993,0.007000000000000006
9000000000000,9000.0,0.992,0.008000000000000007
10000000000000,10000.0,0.991,0.009000000000000008
20000000000000,20000.0,0.99,0.010000000000000009
30000000000000,30000.0,0.985,0.015000000000000013
40000000000000,40000.0,0.984,0.016000000000000014
50000000000000,50000.0,0.983,0.017000000000000015
60000000000000,60000.0,0.981,0.019000000000000017
70000000000000,70000.0,0.981,0.019000000000000017
80000000000000,80000.0,0.98,0.020000000000000018
90000000000000,90000.0,0.98,0.020000000000000018
100000000000000,100000.0,0.978,0.02200000000000002
