wnum_cm-1,wavelength_um,freq_Hz,freq_GHz,n,k,R,D
9000.0,1.379,269813212200000.0,269813.2122,1.001,3.65e-07,2.497502206479835e-07,0.9999997502497794
8900.0,1.394,266815287620000.0,266815.28762,1.001,3.56,0.7599175085193608,0.2400824914806392
8000.0,1.551,239833966400000.0,239833.9664,1.001,5.38e-07,2.4975025966369823e-07,0.9999997502497403
4000.0,3.102,119916983200000.0,119916.9832,1.0,6.62e-06,1.0956099999879964e-11,0.9999999999890439
3000.0,4.136,89937737400000.0,89937.7374,1.0,9.49e-05,2.251502494930737e-09,0.9999999977484975
1500.0,8.271,44968868700000.0,44968.8687,1.0,0.000273,1.8632249652839273e-08,0.9999999813677504
1200.0,10.339,35975094960000.0,35975.09496,0.999,6.24,0.9069260461054733,0.09307395389452666
1100.0,11.279,32977170380000.0,32977.17038,0.999,8.23,0.9442902380450523,0.0557097619549477
1000.0,12.407,29979245800000.0,29979.2458,0.999,8.51,0.9477073555480146,0.05229264445198545
900.0,13.786,26981321220000.0,26981.32122,1.0,1.74,0.4308156411861802,0.5691843588138198
800.0,15.509,23983396640000.0,23983.39664,0.999,2.63,0.6338278886613192,0.3661721113386808
700.0,17.724,20985472060000.0,20985.47206,0.998,3.95,0.7962694028897083,0.20373059711029173
600.0,20.678,17987547480000.0,17987.54748,0.997,0.000651,2.363033784162457e-06,0.9999976369662158
500.0,24.814,14989622900000.0,14989.6229,0.997,0.00111,2.565715583586157e-06,0.9999974342844165
400.0,31.018,11991698320000.0,11991.69832,0.993,2.45,0.6017865068385548,0.39821349316144516
300.0,41.357,8993773740000.0,8993.77374,0.988,0.00513,4.309452436088161e-05,0.9999569054756391
200.0,62.035,5995849160000.0,5995.84916,0.978,0.0159,0.0001883106469407537,0.9998116893530592
150.0,82.713,4496886870000.0,4496.88687,0.969,3.1,0.7126113139943091,0.2873886860056909
120.0,103.392,3597509496000.0,3597.509496,0.965,5.4,0.8831054874554171,0.11689451254458294
110.0,112.791,3297717038000.0,3297.717038,0.968,5.99,0.9025988498413358,0.09740115015866424
105.0,118.162,3147820809000.0,3147.820809,0.968,6.25,0.9098182661052419,0.09018173389475814
100.0,124.07,2997924580000.0,2997.92458,0.967,6.53,0.9168350695589285,0.08316493044107154
95.0,130.6,2848028351000.0,2848.028351,0.965,6.93,0.9256063157539708,0.07439368424602921
92.0,134.859,2758090613600.0,2758.0906136,0.963,7.44,0.9349400912585137,0.06505990874148626
90.0,137.856,2698132122000.0,2698.132122,0.963,7.88,0.941590139311612,0.05840986068838805
88.0,140.989,2638173630400.0,2638.1736304,0.963,8.34,0.9475268478433473,0.052473152156652714
86.0,144.267,2578215138800.0,2578.2151388,0.966,8.77,0.9521652266551203,0.04783477334487973
84.0,147.702,2518256647200.0,2518.2566472,0.969,9.11,0.9553811223998382,0.04461887760016181
83.0,149.482,2488277401400.0,2488.2774014,0.971,9.23,0.9563976369809378,0.043602363019062174
82.0,151.305,2458298155600.0,2458.2981556,0.973,9.34,0.9572909978410775,0.04270900215892248
81.0,153.173,2428318909800.0,2428.3189098,0.974,9.43,0.9580270001017867,0.04197299989821335
80.0,155.088,2398339664000.0,2398.339664,0.977,9.46,0.9581585160337412,0.04184148396625875
79.0,157.051,2368360418200.0,2368.3604182,0.979,9.41,0.9576486298677456,0.04235137013225443
78.0,159.064,2338381172400.0,2338.3811724,0.98,9.36,0.9571725117447831,0.04282748825521687
77.0,161.13,2308401926600.0,2308.4019266,0.982,9.21,0.9557420538733681,0.04425794612663192
76.0,163.25,2278422680800.0,2278.4226808,0.984,9.1,0.9546262838133325,0.04537371618666752
75.0,165.427,2248443435000.0,2248.443435,0.983,8.72,0.9508319854540705,0.04916801454592945
