energy_eV,freq_Hz,freq_GHz,n,k,R,D
0.05635,13625369382192.256,13625.369382192255,0.917,0.381,0.0398031439379066,0.9601968560620934
0.1033,24977828876316.95,24977.828876316948,1.09,0.731,0.110650752754586,0.889349247245414
0.2066,49955657752633.9,49955.657752633895,1.04,1.59,0.378148496943062,0.621851503056938
0.4768,115289727088363.23,115289.72708836323,1.15,2.5,0.576914233157048,0.42308576684295196
0.5904,142758084884584.0,142758.084884584,0.468,2.81,0.813752173388767,0.18624782661123296
0.8265,199846810902961.84,199846.81090296185,0.26,5.26,0.964450764308567,0.03554923569143298
1.24,299830666085508.4,299830.66608550836,0.433,8.46,0.97647541044059,0.023524589559409947
3.1,749576665213771.0,749576.665213771,1.59,16.5,0.977200877120973,0.022799122879026967
4.133,999354953976940.5,999354.9539769405,2.59,22.2,0.979514683878551,0.020485316121448993
5.166,1249133242740110.0,1249133.24274011,3.81,27.5,0.980446148577708,0.019553851422292046
6.199,1498911531503279.5,1498911.5315032795,5.23,33.0,0.981450823979758,0.018549176020241975
8.265,1998468109029618.8,1998468.1090296188,8.57,42.6,0.982017944391909,0.017982055608090963
9.537,2306036340691527.5,2306036.3406915274,10.8,47.5,0.981966111317517,0.018033888682483012
20.0,4835978485250136.0,4835978.485250136,,,0.97,0.030000000000000027
