Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Ex_real,Ey_real,Ez_real,Ex_imag,Ey_imag,Ez_imag
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2.5e-05,2.121073078582944e-21,-1.2564231630930991e-20,-3.4949474313480384e-21,2.0702412835367236e-20,-4.150997000252634e-21,2.4588540780924636e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2.4e-05,3.3730100870964596e-21,-1.1696428018541224e-20,-5.910352780969784e-21,2.0200863516367542e-20,-1.6605021063721683e-21,2.4531822652782915e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2.3e-05,4.513548767971199e-21,-1.0859060601747975e-20,-8.292414438670733e-21,1.969675564219433e-20,7.903509074746639e-22,2.4462624381869675e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2.2e-05,5.54268912120792e-21,-1.0052129380550737e-20,-1.0641132404452287e-20,1.919008921284731e-20,3.2015620412893133e-21,2.4380945968184885e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2.1000000000000002e-05,6.460431146806631e-21,-9.275634354949502e-21,-1.2956506678314471e-20,1.868086422832648e-20,5.5731312950718035e-21,2.4286787411728552e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2e-05,7.266774844767332e-21,-8.529575524944266e-21,-1.5238537260257275e-20,1.816908068863183e-20,7.905058668822125e-21,2.4180148712500658e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.9e-05,7.961720215090026e-21,-7.813952890535021e-21,-1.7487224150280717e-20,1.7654738593763358e-20,1.0197344162540301e-20,2.4061029870501203e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.8e-05,8.54526725777471e-21,-7.128766451721789e-21,-1.9702567348384797e-20,1.713783794372109e-20,1.2449987776226316e-20,2.3929430885730217e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.7e-05,9.017415972821381e-21,-6.474016208504561e-21,-2.188456685456948e-20,1.6618378738505006e-20,1.4662989509880152e-20,2.3785351758187678e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.6000000000000003e-05,9.378166360230039e-21,-5.8497021608833306e-21,-2.4033222668834782e-20,1.6096360978115104e-20,1.6836349363501817e-20,2.3628792487873578e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.5000000000000002e-05,9.627518420000686e-21,-5.255824308858101e-21,-2.6148534791180696e-20,1.5571784662551383e-20,1.8970067337091308e-20,2.3459753074787917e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.4000000000000001e-05,9.765472152133325e-21,-4.692382652428877e-21,-2.8230503221607286e-20,1.5044649791813865e-20,2.1064143430648678e-20,2.3278233518930736e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.3000000000000001e-05,9.792027556627952e-21,-4.15937719159565e-21,-3.0279127960114466e-20,1.451495636590252e-20,2.311857764417386e-20,2.3084233820301976e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.2000000000000002e-05,9.70718463348457e-21,-3.656807926358434e-21,-3.2294409006702274e-20,1.3982704384817373e-20,2.5133369977666872e-20,2.2877753978901686e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.1000000000000001e-05,9.510943382703177e-21,-3.1846748567172106e-21,-3.4276346361370687e-20,1.3447893848558402e-20,2.7108520431127715e-20,2.265879399472982e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.0000000000000003e-05,9.203303804283774e-21,-2.7429779826719968e-21,-3.6224940024119764e-20,1.2910524757125631e-20,2.9044029004556414e-20,2.2427353867786432e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-9.000000000000002e-06,8.784265898226357e-21,-2.331717304222781e-21,-3.8140189994949445e-20,1.2370597110519041e-20,3.0939895697952935e-20,2.2183433598071475e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-8.000000000000001e-06,8.25382966453093e-21,-1.9508928213695625e-21,-4.0022096273859755e-20,1.1828110908738626e-20,3.2796120511317305e-20,2.1927033185584963e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-7.000000000000001e-06,7.611995103197493e-21,-1.6005045341123534e-21,-4.1870658860850693e-20,1.1283066151784415e-20,3.46127034446495e-20,2.1658152630326917e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-6.0000000000000035e-06,6.858762214226047e-21,-1.280552442451146e-21,-4.3685877755922254e-20,1.0735462839656386e-20,3.6389644497949526e-20,2.1376791932297313e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-5.000000000000003e-06,5.9941309976165875e-21,-9.91036546385938e-22,-4.546775295907444e-20,1.0185300972354543e-20,3.81269436712174e-20,2.1082951091496156e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-4.000000000000002e-06,5.01810145336912e-21,-7.319568459167327e-22,-4.721628447030724e-20,9.632580549878887e-21,3.98246009644531e-20,2.0776630107923447e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-3.0000000000000018e-06,3.930673581483642e-21,-5.033133410435302e-22,-4.8931472289620664e-20,9.07730157222942e-21,4.1482616377656635e-20,2.0457828981579186e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-2.000000000000001e-06,2.7318473819601464e-21,-3.051060317663309e-22,-5.0613316417014744e-20,8.51946403940614e-21,4.310098991082804e-20,2.0126547712463385e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,-1.0000000000000006e-06,1.4216228547986519e-21,-1.3733491808513028e-22,-5.226181685248939e-20,7.959067951409044e-21,4.467972156396721e-20,1.9782786300576016e-20
